GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CLASE,RED_PRIMARIA,RED_SECUNDARIA,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,Desague,15242,158522,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SANTA MARIA DE HUACHIPA,150118,Agua,0,25623,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SANTA MARIA DE HUACHIPA,150118,Desague,0,14628,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,Agua,79961,1312535,2023,202304,20230505
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,Desague,57428,1050204,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,Agua,2141,55161,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,Desague,11790,67409,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,Agua,22954,427684,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,Desague,37835,391107,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,Agua,5292,52393,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,Desague,9263,53387,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,Agua,19047,181450,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,Desague,21522,184103,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,Agua,20881,221979,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,Desague,14981,193493,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,Agua,13445,197169,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,Desague,14595,181817,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,Agua,24220,565745,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,Desague,27149,463502,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,Agua,8590,116234,2023,202304,20230505
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,Desague,5905,37867,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,Agua,10491,97181,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,Desague,3680,107370,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,Agua,7013,288130,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,Desague,11665,247297,2023,202304,20230505
